CourtId  CourtName                                                              CourtLocation     RecordStatus  
-------  ---------------------------------------------------------------------  ----------------  --------------
      5  NIRC BENCH                                                             MULTAN                         1
      7  DISTRICT & SESSION JUDGE                                               LAHORE                         1
      8   Additional Session Judge                                              Multan                         0
      9  HIGH COURT OF SINDH, CIRCUIT COURT                                     HYDERABAD                      1
     10  PLAT-II,                                                               Multan                         1
     11  NIRC BENCH                                                             LAHORE                         1
     12  PUNJAB LABOUR COURT NO.1                                               LAHORE                         1
     13  SUPREME COURT OF PAKISTAN                                              ISLAMABAD                      1
     14  FST Bench                                                              Lahore                         1
     15  Civil Judge-II                                                         Hyderabad                      0
     16  Civil Judge-II                                                         Hyderabad                      0
     17  CIVIL JUDGE-II                                                         HYDERABAD                      1
     18  Senior Civil Judge 1st Class                                           Hyderabad                      1
     19  Senior Civil Judge                                                     Kotri                          1
     20  District & Session Judge                                               Hyderabad                      1
     21  NIRC BENCH                                                             SUKKUR                         1
     22  NIRC Karachi, Camp                                                     Hyderabad                      1
     23  High Court of Sindh, Bench                                             Sukkur                         0
     24  NIRC BENCH                                                             QUETTA                         1
     25  High Court Sindh                                                       Hyderabad                      0
     26  Sindh High Court                                                       Sukkur Bench                   1
     27  Police station Hatri                                                   Hyderabad                      1
     28  Civil Judge 1st Class                                                  Lahore                         1
     29  District Judge                                                         Hyderabad                      1
     30  Civil Judge                                                            Hyderabad                      1
     31  High Court Balochistan                                                 Quetta                         1
     32  High Court of Sindh                                                    Karachi                        1
     33  Sindh high court                                                       Hyderabad                      1
     34  Additional Session Judge                                               N.Feroze                       1
     35  Senior Civil Judge                                                     D.G Khan                       1
     36  Civil Judge                                                            D.G Khan                       1
     37  Lahore High Court Multan Bench                                         Multan                         1
     38  Supreme Court of Pakistan Branch Registry                              Karachi                        1
     39  Supreme Court of Pakistan Branch Registry                              Lahore                         1
     40  Supreme Court of Pakistan Branch Registry                              Peshawar                       1
     41  NIRC Islamabad Bench                                                   Peshawar                       1
     42  NIRC                                                                   Islamabad                      1
     43  NIRC KARACHI BENCH                                                     Karachi                        1
     44  Islamabad High Court                                                   Islamabad                      0
     45  Peshawar High Court                                                    Peshawar                       1
     46  6th Additional Distt. Judge Hyderabad                                  Hyderabad                      1
     47  Anti Terrorism Court Hyderabad, ASJ/Judicial Magistrate Kotri          Hyderabad                      1
     48  WAFAQI MOHTASIB REGIONAL OFFICE, QUETTA                                QUETTA                         1
     49  Civil Judge Rajanpur                                                   Rajanpur                       0
     50  CIVIL JUDGE RAJANPUR                                                   RAJANPUR                       1
     51  Civil Judge Taxila                                                     Taxila                         1
     52  abc                                                                    kkkkkk                         0
     53  Addl. Session Judge-VIII Mardan                                        Mardan                         1
